id,tenant_id,asset_id,device_id,in_at,out_at,extra_attributes,created_at,updated_at
1,56,1562,975,2021-04-02 04:00:00,2021-04-02 04:00:09,,2021-04-02 04:00:00,2021-04-02 04:00:09
2,56,1457,1037,2021-04-02 04:04:47,2021-04-02 14:48:37,,2021-04-02 04:04:47,2021-04-02 14:48:37
3,56,1133,474,2021-04-02 04:05:02,2021-04-02 14:48:06,,2021-04-02 04:05:02,2021-04-02 14:48:06
4,56,939,455,2021-04-02 04:05:19,2021-04-02 14:38:59,,2021-04-02 04:05:19,2021-04-02 14:38:59
5,56,999,1094,2021-04-02 04:05:26,2021-04-02 14:48:28,,2021-04-02 04:05:26,2021-04-02 14:48:28
6,56,1458,1033,2021-04-02 04:05:31,2021-04-02 14:48:24,,2021-04-02 04:05:31,2021-04-02 14:48:24
7,56,1000,883,2021-04-02 04:05:44,2021-04-02 14:48:32,,2021-04-02 04:05:44,2021-04-02 14:48:32
8,56,1800,1038,2021-04-02 04:05:53,2021-04-02 14:14:33,,2021-04-02 04:05:53,2021-04-02 14:14:33
9,56,1505,893,2021-04-02 04:06:17,2021-04-02 14:09:13,,2021-04-02 04:06:17,2021-04-02 14:09:13
10,56,1363,401,2021-04-02 04:06:21,2021-04-02 14:27:43,,2021-04-02 04:06:21,2021-04-02 14:27:43
11,56,1086,468,2021-04-02 04:06:36,2021-04-02 14:38:34,,2021-04-02 04:06:36,2021-04-02 14:38:34
12,56,1433,480,2021-04-02 04:06:40,2021-04-02 14:12:00,,2021-04-02 04:06:40,2021-04-02 14:12:00
13,56,1347,452,2021-04-02 04:07:00,2021-04-02 14:38:23,,2021-04-02 04:07:00,2021-04-02 14:38:23
14,56,1507,958,2021-04-02 04:07:08,2021-04-02 14:22:22,,2021-04-02 04:07:08,2021-04-02 14:22:22
15,56,1548,835,2021-04-02 04:07:17,2021-04-02 14:22:26,,2021-04-02 04:07:17,2021-04-02 14:22:26
16,56,1957,484,2021-04-02 04:07:29,2021-04-02 14:32:04,,2021-04-02 04:07:29,2021-04-02 14:32:04
17,56,1653,824,2021-04-02 04:07:32,2021-04-02 14:23:13,,2021-04-02 04:07:32,2021-04-02 14:23:13
18,56,1659,461,2021-04-02 04:07:42,2021-04-02 14:30:25,,2021-04-02 04:07:42,2021-04-02 14:30:25
