id,uuid,device_group_id,name,unique_id,type,setting,is_active,created_at,updated_at,extra_attributes,tenant_id
154,ed337d3f-1035-4e1e-85bb-5349ac42370e,47,20283,20283,sda tag,[],0,2020-12-15 18:23:36,2021-04-29 12:02:57,"{""box"": ""4"", ""mac"": ""1B0ECC502F49"", ""layer"": ""2"", ""uniqueid"": ""20283""}",56
315,b6a1fbdf-43ee-4dac-93ce-8f32380b70b4,47,48067,48067,sda tag,[],0,2020-12-15 18:23:37,2021-04-29 12:02:57,"{""box"": ""12"", ""mac"": ""A8B96D57C2B7"", ""layer"": ""1"", ""uniqueid"": ""48067""}",56
324,e673883c-0a4c-4bcb-9c1e-9a65660d4a01,47,13674,13674,sda tag,[],0,2020-12-24 04:18:56,2021-04-29 12:02:57,"{""mac"": ""AFCC793F9ABB""}",56
325,ea8f61ca-6c9b-42f0-9f79-050b125e753f,47,13367,13367,sda tag,[],0,2020-12-24 04:18:56,2021-04-29 12:02:57,"{""mac"": ""635F9F760DE1""}",56
326,5fb88e44-b60c-4da7-8376-325ff0f79411,47,52566,52566,sda tag,[],0,2020-12-24 04:18:56,2021-04-29 12:02:57,"{""mac"": ""AAF6DBA8725D""}",56
349,68eba7b0-ac55-412d-9657-a4f53147cab8,47,30054,30054,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""E6498F104A2B"", ""layer"": ""2"", ""uniqueid"": ""30054""}",56
350,3b1b78e2-34fb-4ea5-9614-762d5a58cfd6,47,47964,47964,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""F100027477E8"", ""layer"": ""2"", ""uniqueid"": ""47964""}",56
351,26a1c052-333a-40fb-86c0-fd027d0012c3,47,14448,14448,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""9A472DC3D813"", ""layer"": ""2"", ""uniqueid"": ""14448""}",56
352,0b941498-52d2-40ac-8834-06afb4d57c5f,47,10606,10606,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""657C88AB958B"", ""layer"": ""2"", ""uniqueid"": ""10606""}",56
353,fdb0ddd5-e7fc-4050-b56c-427a4589644b,47,2875,2875,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""7A8C7BBBDC01"", ""layer"": ""2"", ""uniqueid"": ""2875""}",56
354,e65d9e4e-52f2-439d-a9e2-9442e0ccd3c0,47,1943,1943,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""13AB9610B6A2"", ""layer"": ""2"", ""uniqueid"": ""1943""}",56
355,55652246-610b-41b0-a776-76f80bfecac5,47,28616,28616,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""D625412E83CE"", ""layer"": ""2"", ""uniqueid"": ""28616""}",56
356,39e14ea8-3a20-42ef-826c-556a7be23b97,47,51791,51791,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""005DE944F066"", ""layer"": ""2"", ""uniqueid"": ""51791""}",56
357,a7f60ef9-6626-4c98-9734-901f8662d4ff,47,49927,49927,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""40CF542D91F2"", ""layer"": ""2"", ""uniqueid"": ""49927""}",56
358,9db9519d-b354-4cae-8253-dee8198fbc78,47,10199,10199,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""1F1862113350"", ""layer"": ""2"", ""uniqueid"": ""10199""}",56
359,cc2392a5-a70e-4279-92a9-a4f1669ad4d0,47,63215,63215,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""48411175B632"", ""layer"": ""2"", ""uniqueid"": ""63215""}",56
360,824cc4ee-0001-4af0-bb85-bedffd262522,47,62687,62687,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""5401B14CE919"", ""layer"": ""2"", ""uniqueid"": ""62687""}",56
361,9c269ae9-a441-44fd-9e1b-32631acb2ec1,47,39616,39616,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""DC2DB659958F"", ""layer"": ""2"", ""uniqueid"": ""39616""}",56
362,befd2ed9-4af2-4c30-9d21-1a11ddc10071,47,49182,49182,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""6D3942FE6C14"", ""layer"": ""2"", ""uniqueid"": ""49182""}",56
363,65c55c8c-bb15-4078-b203-897891347874,47,40362,40362,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""5D73275C9BE6"", ""layer"": ""2"", ""uniqueid"": ""40362""}",56
364,18a67dbe-888c-4b4d-b173-c7338c7bfb80,47,2523,2523,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""7179B096F34F"", ""layer"": ""2"", ""uniqueid"": ""2523""}",56
365,a39e94d7-f410-449c-a754-7bc5ba152ebe,47,39095,39095,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""B91F164CA682"", ""layer"": ""2"", ""uniqueid"": ""39095""}",56
366,721cabc9-07a8-4d50-970a-6e8087719343,47,40081,40081,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""1"", ""mac"": ""DC34C85D66CE"", ""layer"": ""2"", ""uniqueid"": ""40081""}",56
367,756f955d-2667-425e-8b44-ee0358aea95a,47,39781,39781,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:57,"{""box"": ""10"", ""mac"": ""578AB62D7E60"", ""layer"": ""1"", ""uniqueid"": ""39781""}",56
368,3c5015af-3aa9-4bde-a441-3f9b0c5a85a9,47,55678,55678,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""5B6DEC2F6B0F"", ""layer"": ""2"", ""uniqueid"": ""55678""}",56
369,8e5d265e-5132-45cc-bbfc-79e06a6ab21b,47,63282,63282,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""9B601289EDAC"", ""layer"": ""2"", ""uniqueid"": ""63282""}",56
370,1dc02ebe-f143-4117-bc8d-afb8e5cb1f0d,47,36369,36369,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""4079687A49F7"", ""layer"": ""2"", ""uniqueid"": ""36369""}",56
371,2b841edd-283e-438c-92cb-61af49525b8b,47,42715,42715,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""2E0265EE232D"", ""layer"": ""2"", ""uniqueid"": ""42715""}",56
372,b4513645-b75f-4b5c-9fcb-858ccb599f1f,47,39931,39931,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""0526F5E0A83F"", ""layer"": ""2"", ""uniqueid"": ""39931""}",56
373,5fa086e7-d0ad-4605-9b29-745ceaf4f863,47,13969,13969,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""023327AF7561"", ""layer"": ""2"", ""uniqueid"": ""13969""}",56
374,4fc05481-ff9a-4b23-ad9a-cf010d676dcd,47,20723,20723,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""B9214A55DE69"", ""layer"": ""1"", ""uniqueid"": ""20723""}",56
375,2a5f407e-28af-4578-8a07-0d68f5b63db3,47,30344,30344,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""B4BCA8051CAA"", ""layer"": ""1"", ""uniqueid"": ""30344""}",56
376,701cba5e-e36b-434e-92c9-7c6c90373320,47,38151,38151,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""9C1D7D345016"", ""layer"": ""1"", ""uniqueid"": ""38151""}",56
377,5c414f26-6136-403d-ac0a-e0cca98542a5,47,8723,8723,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""ACBEE3146433"", ""layer"": ""1"", ""uniqueid"": ""8723""}",56
378,47f1dbc0-960c-4c84-b2ce-0fbf572f4ca2,47,24040,24040,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""8FFA78452648"", ""layer"": ""1"", ""uniqueid"": ""24040""}",56
379,711d0c44-f6c7-4711-a900-ada041f9e489,47,47107,47107,sda tag,[],1,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""A152ED8F6B9D"", ""layer"": ""1"", ""uniqueid"": ""47107""}",56
380,3587120b-3b0c-4e70-92d3-001423d14bcf,47,25149,25149,sda tag,[],0,2021-03-25 17:18:29,2021-04-29 12:02:58,"{""box"": ""1"", ""mac"": ""DCE8B825FB36"", ""layer"": ""1"", ""uniqueid"": ""25149""}",56
